calibration matrix
2.092170325e-052.075459861e-06-0.0001237455581 0.0018314589989.768552991e-05-0.001971137477
5.124925156e-05-0.002249530517-1.26194318e-05 0.001056803158-9.619503544e-05 0.001130404533
 0.003139268607-4.546073342e-06 0.0031623039399.619491902e-05 0.003191073425-8.41634901e-05
8.311299666e-07-1.203265583e-054.600780085e-057.206144801e-06-4.656558667e-05 6.99543898e-06
-5.152136509e-05-1.205482221e-072.738934381e-05-9.003978448e-062.533828956e-051.002119825e-05
 7.50570905e-07-2.735447015e-051.940409675e-06-2.561574911e-051.249816364e-06-2.76453502e-05
             Fx             Fy             Fz             Tx             Ty             Tz
   -17.82438278    9.122373581    207.5509033    3.105647564    1.841982484   -4.957504272
   -17.80627441    9.109867096    206.5059509    3.106143951    1.843294144   -4.946149826
   -16.48465157    12.49011707    411.5188293    3.161316633   -1.533346891     -4.8895998
   -17.94949722    9.054113388     208.153244    3.107504606    1.845191002   -4.958387375
   -18.01299095    9.045018196    207.7571869    3.106824398    1.845495105   -4.954430103
   -18.06936073    9.045901299    208.5241241    3.107071161    1.845497727   -4.959002495
    111.1543961   -65.03805542    214.4462891    2.649308681    1.185931087   -3.151607275
    111.1167526    -65.0182724    215.3031464    2.650814533     1.18512547   -3.161496639
    110.9940491   -65.01938629    215.6039124    2.652694464    1.184895992   -3.164114475
   -18.24028778    9.042503357    207.5714722    3.112551928    1.841535807   -4.953156471
   -18.24497223    9.004134178    207.2082672    3.112521887    1.840406299   -4.945300579
   -18.33295441    9.021845818    208.0031281    3.113152981    1.842131495   -4.950632095
   -18.35410118    8.979271889    206.0713501      3.1125319    1.835753441   -4.932142735
   -18.32099152    9.052690506    208.5554657    3.116358995    1.832126498   -4.952732086
   -18.55899429    8.974676132    208.9745483     3.11346817    1.833981633   -4.950241089
    110.4703064   -65.02826691    215.0103455    2.650784969    1.183544159   -3.143990755
      110.31427    -64.9739151    214.6073914    2.654542208    1.185737252   -3.142891884
   -18.85268402    9.085037231    207.3192596     3.11511302    1.841376781   -4.938117504
    -18.7078495    9.123012543    206.2334442    3.114891052     1.84049964   -4.931857586
   -18.53905106    9.028800011    208.6536865    3.114929676    1.842224479   -4.949577332
    -18.4990921    9.090827942    208.9567413    3.115479231    1.842356205   -4.950431824
   -18.39303017    9.120288849    209.1045074    3.115958929     1.84177494   -4.951998711
    110.8683853   -64.98400879    215.2425232    2.659726381    1.185902238   -3.147126675
    110.9166412     -64.961586    215.1921387    2.662670374    1.182318449   -3.147936583
    111.0952148   -64.96985626    216.1459198    2.663540363    1.177423954   -3.155328512
   -17.62381744    9.124910355    210.1977386    3.121567488    1.823681593   -4.961328506
   -17.00769615    9.224000931    207.0861359    3.121890306    1.813773274   -4.933088303
   -16.68492699    9.277299881    207.7391663    3.127187252    1.805421472   -4.930281639
    -16.2129631     9.17858696    207.4105988    3.127954483    1.804950833    -4.91265583
   -16.17647743    9.094268799     208.766449    3.123796463    1.811359644    -4.90786171
   -16.51509476    9.009673119    209.4120483    3.124676704    1.819848657   -4.894407749
   -16.70191383    8.939092636    210.2778473    3.127447128    1.827742696   -4.887262344
   -17.07163429    8.885602951    210.3442841    3.128884554    1.845080256   -4.874493599
    -17.6052494    8.786050797    210.1848297    3.134917974     1.86271894   -4.853607655
   -16.80914688    12.07562256    415.1244202    3.193342924    -1.49642086   -4.775215626
   -17.47117615     12.1194191    413.5067749    3.197807312   -1.484702349   -4.734224796
   -17.90845108    12.06403542     412.248291    3.196539879   -1.483590126    -4.70085001
   -18.38952827    11.98138809    414.0780029    3.194766998   -1.489322662   -4.697238922
   -18.71041489    11.85609913    413.8739319    3.193194628   -1.490936518   -4.679248333
   -19.15996933    11.81082153    413.9336548    3.199587822   -1.483474016   -4.649704933
    -19.2889843     11.8344326    413.9517822    3.203224897    -1.47501862   -4.625688553
   -19.35634995    11.92000675    413.7609863    3.211054802   -1.468661785   -4.593133926
   -19.51075745    11.98103237    412.2567139    3.217829466   -1.470712781   -4.554086208
   -19.53832436     12.0024128    412.7104492    3.219266176     -1.4713732   -4.536263466
   -19.28488731     12.0946331    412.2391357    3.228849649   -1.474777222   -4.502795219
   -19.05178261    12.09472275    412.7132568    3.242243767   -1.474766254   -4.468006134
   -10.82892036    13.13061333    206.0079956    0.246583432   -3.268635511   -4.567788601
   -10.52426338    13.40816975    206.0046997   0.2632994652   -3.265804291   -4.538094997
   -9.930628777    13.70807457    206.8944397   0.2784751058   -3.262261868   -4.514875889
   -2.694687843    7.946805954    413.8330688   -2.760610104   -1.597724795   -4.337152481
     1.77203095    10.26455307    411.5242004   -2.704776764   -1.492505074   -4.030797482
    1.932012796    10.36867809    413.1729736   -2.749374151   -1.608430266   -4.031689644
    3.507609129    10.66347313    411.6624146    -2.70030117   -1.494067669   -3.979010582
    3.509156704    10.67173576    411.0563965   -2.700178385   -1.497465491   -3.979296684
    4.401351929    10.91592789    410.9500732   -2.695830822   -1.500733495   -3.955746651
    5.477769852    11.28546715     409.431488   -2.695030928   -1.497159004   -3.919235229
    6.021446705    11.56771946    409.7020874   -2.701909781    -1.49949801   -3.907702684
    6.177634239    11.58359432    411.8399048   -2.708049536   -1.502220988   -3.909626007
    6.643401146    11.80181694    409.8632202   -2.705024481   -1.494319677   -3.866471052
    8.722099304    12.73949242    410.5161133   -2.692218304   -1.501117349   -3.826437712
    8.713230133    12.72557259    411.7177124   -2.690007448   -1.494502068   -3.825853586
    9.388267517     13.0401535    409.0901489   -2.693903446   -1.495126486   -3.795956373
    9.659186363    13.23177052    407.0296021    -2.69581604   -1.489702225   -3.765320778
     4.18224144    20.02225113      201.67276   0.3578619957   -3.145403385   -3.816995621
    10.55579185    13.71746445    408.7730103   -2.684701443   -1.469097972   -3.735690832
    11.87791634    14.05171013    408.3544922   -2.682377577   -1.469481826   -3.708340168
    12.41068363    14.05338764    409.1497192   -2.682654142   -1.475687265   -3.705279589
    5.619414806    20.23567009    202.4761658   0.3693904877    -3.13075304   -3.801788568
    12.85211658    14.03597355    409.4073792   -2.677104473   -1.452752709   -3.672931433
    13.88341522    14.07817173    408.4004517   -2.680572987   -1.459058642    -3.64089632
